n_agents,algorithm,dist_mean,dist_std,peak_mean,peak_std
3,happo,6.926,0.005,0.409,0.0
3,hatrpo,6.93,0.009,0.409,0.0
3,hatrpo_caatr,6.932,0.008,0.409,0.0
3,ippo,6.927,0.005,0.409,0.0
3,mappo,6.927,0.005,0.409,0.0
3,wmatrpo,2.678,2.59,0.295,0.031
3,wmatrpo_fixed,5.633,0.143,0.295,0.03
5,happo,8.943,0.002,0.065,0.0
5,hatrpo,8.942,0.029,0.065,0.0
5,hatrpo_caatr,9.088,0.248,0.061,0.005
5,ippo,8.941,0.002,0.065,0.0
5,mappo,8.941,0.002,0.065,0.0
5,wmatrpo,7.521,0.156,0.025,0.004
5,wmatrpo_fixed,7.613,0.076,0.024,0.003
7,happo,10.583,0.007,0.01,0.0
7,hatrpo,10.883,0.39,0.008,0.003
7,hatrpo_caatr,11.134,0.755,0.006,0.003
7,ippo,10.586,0.005,0.01,0.0
7,mappo,10.586,0.005,0.01,0.0
7,wmatrpo,2.856,3.365,0.003,0.001
7,wmatrpo_fixed,1.962,1.828,0.003,0.001
9,happo,11.999,0.005,0.002,0.0
9,hatrpo,12.744,0.564,0.001,0.0
9,hatrpo_caatr,10.361,1.192,0.001,0.0
9,ippo,12.049,0.071,0.002,0.0
9,mappo,12.049,0.071,0.002,0.0
9,wmatrpo,9.107,2.59,0.0,0.0
9,wmatrpo_fixed,9.543,1.813,0.001,0.0
